sentence_id,text,polarity,intensity,gua_name,gua_keywords
33,所以，再没有比这个时候再适合谈恋爱的了。所以这段恋情就这样产生了。,-0.15,0.65,渐卦（䷴）,渐进、发展、成长
34,比较重点的就是他是一个情感很丰沛的，控制欲又很强的水象星座，我的特质是风象更多，他的几乎全都是水象，包括他表达的方式，他的敏感的内心，他对我信任，或者正常情况下，他对我都是完全服务到位的，非常的似水柔情。,0.1,0.5,渐卦（䷴）,渐进、发展、成长
35,但是当他不信任我的时候，又会拿着我的手机、ipad各种东西翻个底朝天，连一个文件都不放过，这让我既感受到是有被爱，但是也受到了很多的压抑。,-0.3,0.7,损卦（䷨）,损失、减损、节制
36,由于我尊重他的这份爱，所以我会尝试着去改变他一些做的不好的。部分因为我不害怕去改变别人，而且我的成果也还是不错的。,0.05,0.45,渐卦（䷴）,渐进、发展、成长
37,即便我再怎么不信邪，怎么高估自己的能力，深信可以把他变成一个比较适合我的伴侣，但是有一样东西是他没有办法做到，我也无法教会他的，就是对我的理解。,-0.25,0.65,损卦（䷨）,损失、减损、节制
38,一个人对一个人的理解需要配套的智力和共情能力，同理心和换位思考，这些是他没有办法做到的，因为他小我两岁，而且他是高中就辍学出来。,-0.35,0.75,困卦（䷮）,困境、束缚、挑战
39,比较讽刺一点就在于，如果我当初不知道他是高中辍学的，我或许不会把他和徐振凯联想到一起，我就不会再问下去，我和他的缘分也就点到为止。,-0.2,0.6,渐卦（䷴）,渐进、发展、成长
40,那恰好就是因为他这一点，所以我跟他开始攀谈起来，也导致最后我们在一起，也导致最后我们就分开，即便我不相信这一点，因为我很讨厌把人阶级固化，但是我后面发现固化人的并不是阶级，而是心智和能力。,-0.3,0.7,损卦（䷨）,损失、减损、节制
41,这个能力还是比较老的几样智商、情商、相处的技巧和反应程度、反思能力以及思考的深度等等，这些是可以去划分阶级的，而传统那些划分阶级的东西，外在的学历和目前已有的金钱数，它只是前者的一个表现而已，他并不能够倒推什么，但是它可以去反映很多的东西。,-0.25,0.65,损卦（䷨）,损失、减损、节制
42,所以不信邪的我在一开始的几个月，我是非常困难的向他一遍一遍阐述，为什么我认为自己有异性朋友是可以被接受的，为什么我认为保持距离是必要的。我认为去维持对方的独立性这一点并不阻碍爱的表达，但是这对一个自己固守、坚信自己爱的人来说。像是一种对他的爱的不接受抵抗以及否定。,-0.35,0.75,困卦（䷮）,困境、束缚、挑战
43,由于我不喜欢圆融的去说话，这样哄着他说话不是我的风格，至少我自己内心是有这样的一个划分的。我认为他在理解人的和共情人引导人这个层面上，如果我认为自己在这种关系当中是托举他更多的，所以我做不到对他那样不成熟的人去撒娇，去说一些好话，哄着他，我完全做不到。,-0.4,0.8,困卦（䷮）,困境、束缚、挑战
44,所以在他眼里看来，我就是在反抗，以及对他的反击，你可以去理解吗？就是这种情感很深的人，他没有办法听进去别人在对他的一种反抗，因为只有他不去听别人的话，不去听外在的规训，只有他把保护自己的想法、情感的本领做到极致，他才能够在这个世界上找一个可以去接受他的地方。,-0.35,0.75,困卦（䷮）,困境、束缚、挑战
45,因为但凡有一点点经验的人，他都不会这么的强迫强制。但是他就是会这样，他会做出令所有人都瞠目结舌的事情，放弃他的一些前途，只为了和刚认识一两周的人一直在一起，放弃他的家乡和他过年回家的机会。就为了可以省一点钱，然后和他的女友在一起。,-0.3,0.7,损卦（䷨）,损失、减损、节制
46,所以他的女友不认同他表达爱的方式的时候，他会感到十分的伤心和受挫。,-0.25,0.65,损卦（䷨）,损失、减损、节制
47,所以总体来讲他是自我的，他是没有办法去真正做到去理解人的。当然，那个时候的我还不信邪，还想着去改变。,-0.35,0.75,困卦（䷮）,困境、束缚、挑战
